PrePost,fish_name,tot_time_w,tot_time_b,tot_time_wthigmo,tot_time_bthigmo,tot_transits,trans_w,trans_b,trans_wthigmo,trans_bthigmo,latency_w,latency_b,latency_wthigmo,latency_bthigmo,prop_w,prop_b,prop_wthigmo,prop_bthigmo
prescoto,catalina,25.791,208.229,45.639,348.55,54,11,22,5,16,208.402,0,418.483,20.401,0.040595489,0.327851533,0.071747363,0.547942406
prescoto,charlotte,19.041,57.707,177.836,367.223,81,13,17,25,26,2.602,7.837,0,13.435,0.030570273,0.092524094,0.28806723,0.590035321
prescoto,chloe,1.963,145.535,1.682,467.486,39,1,19,1,18,NA,25.482,NA,0,0.003154442,0.235151454,0.002702889,0.755351035
prescoto,claire,39.975,144.442,137.446,299.516,102,16,31,22,32,38.919,0,39.76,7.561,0.063869561,0.230615712,0.218925807,0.480433988
prescoto,daisy,36.918,240.595,67.239,298.943,89,16,29,16,27,4.199,0,7.56,17.919,0.05727095,0.372568422,0.104075634,0.462922013
prescoto,daniela,36.303,154.41,114.009,312.238,90,18,27,19,26,21.283,0,13.997,10.636,0.05843814,0.248631328,0.183323685,0.502619841
prescoto,dawn,23.8,49.837,218.752,331.221,97,12,11,38,37,59.641,0,62.722,4.201,0.038149585,0.079926035,0.350463007,0.530649813
prescoto,delfina,35.155,60.24,76.194,459.998,53,8,13,15,18,7.28,0,5.883,24.638,0.055390118,0.094913972,0.119677129,0.724771538
prescoto,diana,13.48,152.991,18.2,463.125,37,2,15,4,16,193.556,0,132.72,6.238,0.020809855,0.237853595,0.028280147,0.715938709
pstscoto,beatrice,54.043,236.354,40.034,293.827,74,13,25,11,25,203.238,0,197.363,8.405,0.086571578,0.378615893,0.064130536,0.470681994
